n,gameOver,head,score,visionUp,visionRight,visionDown,visionLeft,directionChoice
3,0,"[8, 3]",0,0.0,1.0,0.0,0.0,2
4,1,"[9, 3]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,3
2,0,"[8, 4]",0,0.0,1.0,0.0,0.0,2
3,0,"[9, 4]",0,1.0,0.0,1.0,0.0,3
4,0,"[9, 3]",0,0.0,1.0,1.0,0.0,1
5,1,"[9, 2]",0,0.0,1.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,3
2,0,"[6, 6]",0,0.0,1.0,0.0,0.0,0
3,0,"[5, 6]",0,0.0,0.0,1.0,0.0,1
4,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
5,0,"[6, 7]",0,1.0,0.0,0.0,0.0,1
6,0,"[6, 8]",0,0.0,0.0,0.0,1.0,2
7,0,"[7, 8]",0,1.0,0.0,0.0,0.0,1
8,1,"[7, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
2,1,"[5, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
1,0,"[7, 4]",0,0.0,1.0,0.0,0.0,2
2,0,"[8, 4]",0,1.0,0.0,0.0,0.0,1
3,0,"[8, 5]",0,0.0,0.0,0.0,1.0,0
4,0,"[7, 5]",0,0.0,0.0,1.0,0.0,1
5,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
6,0,"[7, 7]",0,0.0,0.0,0.0,1.0,0
7,0,"[6, 7]",0,0.0,0.0,1.0,0.0,1
8,0,"[6, 8]",0,0.0,0.0,0.0,1.0,0
9,0,"[5, 8]",1,0.0,0.0,1.0,0.0,1
10,0,"[5, 9]",1,0.0,1.0,0.0,1.0,2
11,0,"[6, 9]",1,1.0,1.0,0.0,1.0,3
12,0,"[6, 8]",1,1.0,1.0,0.0,0.0,0
13,0,"[5, 8]",1,0.0,1.0,0.0,0.0,0
14,0,"[4, 8]",1,0.0,0.0,0.0,0.0,1
15,0,"[4, 9]",1,0.0,1.0,0.0,1.0,0
16,1,"[3, 9]",1,0.0,1.0,1.0,0.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
1,0,"[7, 4]",0,0.0,1.0,0.0,0.0,2
2,0,"[8, 4]",0,1.0,0.0,0.0,0.0,0
3,1,"[9, 4]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,1
2,0,"[6, 8]",0,0.0,0.0,0.0,1.0,3
3,0,"[6, 9]",0,0.0,1.0,0.0,1.0,2
4,0,"[7, 9]",0,1.0,1.0,0.0,0.0,3
5,0,"[7, 8]",0,0.0,1.0,0.0,0.0,2
6,0,"[8, 8]",1,1.0,0.0,0.0,0.0,0
7,0,"[9, 8]",1,1.0,0.0,1.0,0.0,3
8,1,"[9, 7]",1,0.0,1.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,1
3,0,"[9, 6]",0,0.0,0.0,1.0,1.0,3
4,0,"[9, 7]",0,0.0,0.0,1.0,1.0,3
5,0,"[9, 8]",0,0.0,0.0,1.0,1.0,1
6,1,"[9, 9]",0,0.0,1.0,1.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,0
3,0,"[7, 8]",0,1.0,0.0,0.0,0.0,2
4,0,"[8, 8]",0,1.0,0.0,0.0,0.0,1
5,0,"[8, 9]",0,0.0,1.0,0.0,1.0,2
6,0,"[9, 9]",0,1.0,1.0,1.0,0.0,3
7,0,"[9, 8]",0,0.0,1.0,1.0,0.0,0
8,0,"[8, 8]",0,0.0,0.0,1.0,0.0,3
9,0,"[8, 7]",0,0.0,1.0,0.0,0.0,3
10,0,"[8, 6]",0,0.0,1.0,0.0,0.0,2
11,1,"[9, 6]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,0
2,0,"[7, 7]",0,1.0,0.0,0.0,0.0,3
3,0,"[7, 6]",0,0.0,1.0,0.0,0.0,2
4,0,"[8, 6]",0,1.0,0.0,0.0,0.0,3
5,0,"[8, 5]",0,0.0,1.0,0.0,0.0,1
6,0,"[8, 4]",0,0.0,1.0,0.0,0.0,3
7,0,"[8, 3]",0,0.0,1.0,0.0,0.0,3
8,0,"[8, 2]",0,0.0,1.0,0.0,0.0,0
9,0,"[7, 2]",0,0.0,0.0,1.0,0.0,1
10,0,"[7, 3]",1,0.0,0.0,1.0,1.0,2
11,0,"[8, 3]",1,1.0,0.0,0.0,1.0,3
12,0,"[8, 2]",1,1.0,0.0,0.0,0.0,3
13,0,"[8, 1]",1,0.0,0.0,0.0,0.0,2
14,1,"[9, 1]",1,1.0,0.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,3
2,0,"[6, 6]",0,0.0,1.0,0.0,0.0,3
3,0,"[6, 5]",0,0.0,1.0,0.0,0.0,0
4,0,"[5, 5]",0,0.0,0.0,1.0,0.0,3
5,0,"[5, 4]",0,0.0,1.0,0.0,0.0,3
6,0,"[5, 3]",0,0.0,1.0,0.0,0.0,0
7,0,"[4, 3]",0,0.0,0.0,1.0,0.0,3
8,0,"[4, 2]",0,0.0,1.0,0.0,0.0,2
9,0,"[5, 2]",0,1.0,0.0,0.0,0.0,1
10,0,"[5, 3]",0,0.0,0.0,0.0,1.0,1
11,0,"[5, 4]",0,0.0,0.0,0.0,1.0,1
12,0,"[5, 5]",0,0.0,0.0,0.0,1.0,3
13,0,"[5, 6]",0,0.0,0.0,0.0,1.0,0
14,0,"[4, 6]",0,0.0,0.0,1.0,0.0,1
15,0,"[4, 7]",0,0.0,0.0,0.0,1.0,2
16,0,"[5, 7]",0,1.0,0.0,0.0,0.0,1
17,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
18,0,"[6, 8]",0,1.0,0.0,0.0,0.0,3
19,0,"[6, 7]",0,0.0,1.0,0.0,0.0,1
20,0,"[6, 6]",0,0.0,1.0,0.0,0.0,2
21,0,"[7, 6]",0,1.0,0.0,0.0,0.0,2
22,0,"[8, 6]",0,1.0,0.0,0.0,0.0,1
23,0,"[8, 7]",0,0.0,0.0,0.0,1.0,0
24,0,"[7, 7]",0,0.0,0.0,1.0,0.0,2
25,0,"[6, 7]",0,0.0,0.0,1.0,0.0,0
26,0,"[5, 7]",0,0.0,0.0,1.0,0.0,0
27,0,"[4, 7]",0,0.0,0.0,1.0,0.0,2
28,0,"[3, 7]",0,0.0,0.0,1.0,0.0,2
29,0,"[2, 7]",0,0.0,0.0,1.0,0.0,0
30,0,"[1, 7]",0,0.0,0.0,1.0,0.0,0
31,1,"[0, 7]",0,1.0,0.0,1.0,0.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,1
2,0,"[5, 9]",0,0.0,1.0,0.0,1.0,2
3,0,"[6, 9]",0,1.0,1.0,0.0,0.0,2
4,0,"[7, 9]",0,1.0,1.0,0.0,0.0,2
5,0,"[8, 9]",0,1.0,1.0,0.0,0.0,3
6,0,"[8, 8]",0,0.0,1.0,0.0,0.0,0
7,0,"[7, 8]",0,0.0,0.0,1.0,0.0,2
8,0,"[6, 8]",0,0.0,0.0,1.0,0.0,0
9,0,"[5, 8]",0,0.0,0.0,1.0,0.0,0
10,0,"[4, 8]",0,0.0,0.0,1.0,0.0,0
11,0,"[3, 8]",0,0.0,0.0,1.0,0.0,0
12,0,"[2, 8]",0,0.0,0.0,1.0,0.0,1
13,0,"[2, 9]",0,0.0,1.0,0.0,1.0,0
14,1,"[1, 9]",0,0.0,1.0,1.0,0.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,2
3,0,"[8, 7]",0,1.0,0.0,0.0,0.0,3
4,0,"[8, 6]",0,0.0,1.0,0.0,0.0,1
5,0,"[8, 5]",0,0.0,1.0,0.0,0.0,1
6,0,"[8, 4]",0,0.0,1.0,0.0,0.0,3
7,0,"[8, 3]",0,0.0,1.0,0.0,0.0,2
8,1,"[9, 3]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,1
3,1,"[9, 6]",0,0.0,0.0,1.0,1.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,0
2,0,"[6, 6]",0,0.0,0.0,1.0,0.0,1
3,0,"[6, 7]",0,0.0,0.0,0.0,1.0,2
4,0,"[7, 7]",0,1.0,0.0,0.0,0.0,0
5,0,"[8, 7]",0,1.0,0.0,0.0,0.0,2
6,1,"[9, 7]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,3
2,0,"[8, 4]",0,0.0,1.0,0.0,0.0,2
3,0,"[9, 4]",0,1.0,0.0,1.0,0.0,1
4,0,"[9, 5]",0,0.0,0.0,1.0,1.0,0
5,0,"[8, 5]",0,0.0,0.0,1.0,0.0,3
6,0,"[8, 4]",0,0.0,1.0,0.0,0.0,0
7,0,"[7, 4]",0,0.0,0.0,1.0,0.0,0
8,0,"[6, 4]",0,0.0,0.0,1.0,0.0,2
9,0,"[5, 4]",0,0.0,0.0,1.0,0.0,2
10,0,"[4, 4]",0,0.0,0.0,1.0,0.0,2
11,0,"[3, 4]",0,0.0,0.0,1.0,0.0,0
12,0,"[2, 4]",0,0.0,0.0,1.0,0.0,1
13,0,"[2, 5]",0,0.0,0.0,0.0,1.0,3
14,0,"[2, 6]",0,0.0,0.0,0.0,1.0,2
15,0,"[3, 6]",0,1.0,0.0,0.0,0.0,3
16,0,"[3, 5]",0,0.0,1.0,0.0,0.0,3
17,0,"[3, 4]",0,0.0,1.0,0.0,0.0,0
18,0,"[2, 4]",0,0.0,0.0,1.0,0.0,1
19,0,"[2, 5]",0,0.0,0.0,0.0,1.0,2
20,0,"[3, 5]",0,1.0,0.0,0.0,0.0,0
21,0,"[4, 5]",0,1.0,0.0,0.0,0.0,0
22,0,"[5, 5]",0,1.0,0.0,0.0,0.0,2
23,0,"[6, 5]",0,1.0,0.0,0.0,0.0,2
24,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
25,0,"[7, 6]",0,0.0,0.0,0.0,1.0,2
26,0,"[8, 6]",0,1.0,0.0,0.0,0.0,2
27,0,"[9, 6]",0,1.0,0.0,1.0,0.0,3
28,0,"[9, 5]",0,0.0,1.0,1.0,0.0,1
29,0,"[9, 4]",0,0.0,1.0,1.0,0.0,0
30,0,"[8, 4]",0,0.0,0.0,1.0,0.0,3
31,0,"[8, 3]",0,0.0,1.0,0.0,0.0,1
32,0,"[8, 2]",0,0.0,1.0,0.0,0.0,1
33,0,"[8, 1]",0,0.0,1.0,0.0,0.0,0
34,0,"[7, 1]",0,0.0,0.0,1.0,0.0,1
35,0,"[7, 2]",0,0.0,0.0,0.0,1.0,1
36,0,"[7, 3]",0,0.0,0.0,0.0,1.0,1
37,0,"[7, 4]",0,0.0,0.0,0.0,1.0,3
38,0,"[7, 5]",0,0.0,0.0,0.0,1.0,2
39,0,"[8, 5]",0,1.0,0.0,0.0,0.0,1
40,0,"[8, 6]",0,0.0,0.0,0.0,1.0,3
41,0,"[8, 7]",0,0.0,0.0,0.0,1.0,3
42,0,"[8, 8]",0,0.0,0.0,0.0,1.0,2
43,1,"[9, 8]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,3
3,1,"[9, 4]",0,0.0,1.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
1,0,"[7, 4]",0,0.0,1.0,0.0,0.0,0
2,0,"[6, 4]",0,0.0,0.0,1.0,0.0,0
3,0,"[5, 4]",0,0.0,0.0,1.0,0.0,0
4,0,"[4, 4]",0,0.0,0.0,1.0,0.0,3
5,0,"[4, 3]",0,0.0,1.0,0.0,0.0,0
6,0,"[3, 3]",0,0.0,0.0,1.0,0.0,1
7,0,"[3, 4]",0,0.0,0.0,0.0,1.0,2
8,0,"[4, 4]",0,1.0,0.0,0.0,0.0,3
9,0,"[4, 3]",0,0.0,1.0,0.0,0.0,3
10,0,"[4, 2]",0,0.0,1.0,0.0,0.0,3
11,0,"[4, 1]",0,0.0,1.0,0.0,0.0,1
12,1,"[4, 0]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,0
3,0,"[6, 7]",0,0.0,0.0,1.0,0.0,3
4,0,"[6, 6]",0,0.0,1.0,0.0,0.0,0
5,0,"[5, 6]",0,0.0,0.0,1.0,0.0,0
6,0,"[4, 6]",0,0.0,0.0,1.0,0.0,2
7,0,"[3, 6]",0,0.0,0.0,1.0,0.0,1
8,0,"[3, 7]",0,0.0,0.0,0.0,1.0,0
9,0,"[2, 7]",0,0.0,0.0,1.0,0.0,0
10,0,"[1, 7]",0,0.0,0.0,1.0,0.0,0
11,1,"[0, 7]",0,1.0,0.0,1.0,0.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,3
3,0,"[9, 4]",1,0.0,1.0,1.0,0.0,3
4,0,"[9, 3]",1,0.0,1.0,1.0,0.0,1
5,0,"[9, 2]",1,0.0,1.0,1.0,0.0,3
6,1,"[9, 1]",1,0.0,1.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,2
3,0,"[7, 8]",0,1.0,0.0,0.0,0.0,1
4,1,"[7, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,1
3,0,"[4, 9]",0,0.0,1.0,0.0,1.0,0
4,0,"[3, 9]",0,0.0,1.0,1.0,0.0,3
5,0,"[3, 8]",0,0.0,1.0,0.0,0.0,3
6,0,"[3, 7]",0,0.0,1.0,0.0,0.0,2
7,0,"[4, 7]",0,1.0,0.0,0.0,0.0,0
8,0,"[5, 7]",0,1.0,0.0,0.0,0.0,1
9,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
10,0,"[6, 8]",0,1.0,0.0,0.0,0.0,3
11,0,"[6, 7]",0,0.0,1.0,0.0,0.0,2
12,0,"[7, 7]",0,1.0,0.0,0.0,0.0,2
13,0,"[8, 7]",0,1.0,0.0,0.0,0.0,3
14,0,"[8, 6]",0,0.0,1.0,0.0,0.0,0
15,0,"[7, 6]",0,0.0,0.0,1.0,0.0,3
16,0,"[7, 5]",0,0.0,1.0,0.0,0.0,2
17,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
18,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,0
3,0,"[3, 8]",0,0.0,0.0,1.0,0.0,3
4,0,"[3, 7]",0,0.0,1.0,0.0,0.0,3
5,0,"[3, 6]",0,0.0,1.0,0.0,0.0,2
6,0,"[4, 6]",0,1.0,0.0,0.0,0.0,3
7,0,"[4, 5]",0,0.0,1.0,0.0,0.0,3
8,0,"[4, 4]",0,0.0,1.0,0.0,0.0,0
9,0,"[3, 4]",0,0.0,0.0,1.0,0.0,0
10,0,"[2, 4]",0,0.0,0.0,1.0,0.0,0
11,0,"[1, 4]",0,0.0,0.0,1.0,0.0,1
12,0,"[1, 5]",0,0.0,0.0,0.0,1.0,0
13,1,"[0, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,3
2,0,"[8, 4]",0,0.0,1.0,0.0,0.0,3
3,0,"[8, 3]",0,0.0,1.0,0.0,0.0,0
4,0,"[7, 3]",0,0.0,0.0,1.0,0.0,3
5,0,"[7, 2]",0,0.0,1.0,0.0,0.0,2
6,0,"[8, 2]",0,1.0,0.0,0.0,0.0,3
7,0,"[8, 1]",0,0.0,1.0,0.0,0.0,3
8,1,"[8, 0]",0,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,0
2,0,"[7, 7]",0,1.0,0.0,0.0,0.0,3
3,0,"[7, 6]",0,0.0,1.0,0.0,0.0,3
4,0,"[7, 5]",0,0.0,1.0,0.0,0.0,0
5,0,"[6, 5]",0,0.0,0.0,1.0,0.0,2
6,0,"[5, 5]",0,0.0,0.0,1.0,0.0,2
7,0,"[4, 5]",0,0.0,0.0,1.0,0.0,1
8,0,"[4, 6]",0,0.0,0.0,0.0,1.0,1
9,0,"[4, 7]",0,0.0,0.0,0.0,1.0,2
10,0,"[5, 7]",0,1.0,0.0,0.0,0.0,3
11,0,"[5, 6]",0,0.0,1.0,0.0,0.0,3
12,0,"[5, 5]",0,0.0,1.0,0.0,0.0,0
13,0,"[4, 5]",0,0.0,0.0,1.0,0.0,2
14,0,"[3, 5]",0,0.0,0.0,1.0,0.0,3
15,0,"[3, 4]",0,0.0,1.0,0.0,0.0,0
16,0,"[2, 4]",0,0.0,0.0,1.0,0.0,1
17,0,"[2, 5]",0,0.0,0.0,0.0,1.0,1
18,0,"[2, 6]",0,0.0,0.0,0.0,1.0,1
19,0,"[2, 7]",0,0.0,0.0,0.0,1.0,3
20,0,"[2, 8]",0,0.0,0.0,0.0,1.0,3
21,1,"[2, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,1
2,0,"[8, 6]",0,0.0,0.0,0.0,1.0,0
3,0,"[7, 6]",0,0.0,0.0,1.0,0.0,1
4,0,"[7, 7]",0,0.0,0.0,0.0,1.0,2
5,0,"[8, 7]",0,1.0,0.0,0.0,0.0,2
6,1,"[9, 7]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,3
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,0
3,0,"[6, 7]",0,0.0,0.0,1.0,0.0,3
4,0,"[6, 6]",0,0.0,1.0,0.0,0.0,1
5,0,"[6, 5]",0,0.0,1.0,0.0,0.0,2
6,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
7,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
8,0,"[7, 7]",0,0.0,0.0,0.0,1.0,0
9,0,"[6, 7]",0,0.0,0.0,1.0,0.0,2
10,0,"[5, 7]",0,0.0,0.0,1.0,0.0,1
11,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
12,0,"[4, 8]",0,0.0,0.0,1.0,0.0,3
13,0,"[4, 7]",0,0.0,1.0,0.0,0.0,2
14,0,"[5, 7]",0,1.0,0.0,0.0,0.0,3
15,0,"[5, 6]",0,0.0,1.0,0.0,0.0,0
16,0,"[4, 6]",0,0.0,0.0,1.0,0.0,3
17,0,"[4, 5]",0,0.0,1.0,0.0,0.0,0
18,0,"[3, 5]",0,0.0,0.0,1.0,0.0,3
19,0,"[3, 4]",0,0.0,1.0,0.0,0.0,2
20,0,"[4, 4]",0,1.0,0.0,0.0,0.0,0
21,0,"[5, 4]",0,1.0,0.0,0.0,0.0,3
22,0,"[5, 3]",0,0.0,1.0,0.0,0.0,3
23,0,"[5, 2]",0,0.0,1.0,0.0,0.0,0
24,0,"[4, 2]",0,0.0,0.0,1.0,0.0,3
25,0,"[4, 1]",0,0.0,1.0,0.0,0.0,2
26,0,"[5, 1]",0,1.0,0.0,0.0,0.0,0
27,0,"[6, 1]",0,1.0,0.0,0.0,0.0,0
28,0,"[7, 1]",0,1.0,0.0,0.0,0.0,1
29,0,"[7, 2]",0,0.0,0.0,0.0,1.0,3
30,0,"[7, 3]",0,0.0,0.0,0.0,1.0,2
31,0,"[8, 3]",0,1.0,0.0,0.0,0.0,1
32,0,"[8, 4]",0,0.0,0.0,0.0,1.0,2
33,0,"[9, 4]",0,1.0,0.0,1.0,0.0,1
34,1,"[9, 5]",0,0.0,0.0,1.0,1.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,1
3,0,"[9, 6]",0,0.0,0.0,1.0,1.0,3
4,1,"[9, 7]",0,0.0,0.0,1.0,1.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,3
2,0,"[8, 4]",1,0.0,1.0,0.0,0.0,0
3,0,"[7, 4]",1,0.0,1.0,1.0,0.0,3
4,0,"[7, 3]",1,0.0,1.0,0.0,0.0,3
5,0,"[7, 2]",1,0.0,1.0,0.0,0.0,3
6,0,"[7, 1]",1,0.0,1.0,0.0,0.0,0
7,0,"[6, 1]",1,0.0,0.0,1.0,0.0,3
8,1,"[6, 0]",1,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,2
2,0,"[8, 6]",0,1.0,0.0,0.0,0.0,2
3,1,"[9, 6]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,3
2,0,"[8, 4]",0,0.0,1.0,0.0,0.0,2
3,0,"[9, 4]",0,1.0,0.0,1.0,0.0,3
4,0,"[9, 3]",0,0.0,1.0,1.0,0.0,1
5,0,"[9, 2]",0,0.0,1.0,1.0,0.0,3
6,1,"[9, 1]",0,0.0,1.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,1
2,0,"[6, 8]",0,0.0,0.0,0.0,1.0,3
3,1,"[6, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,2
3,0,"[8, 7]",0,1.0,0.0,0.0,0.0,3
4,0,"[8, 6]",0,0.0,1.0,0.0,0.0,2
5,1,"[9, 6]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,0
2,0,"[6, 6]",0,0.0,0.0,1.0,0.0,3
3,0,"[6, 5]",0,0.0,1.0,0.0,0.0,0
4,0,"[5, 5]",0,0.0,0.0,1.0,0.0,1
5,0,"[5, 6]",0,0.0,0.0,0.0,1.0,2
6,0,"[6, 6]",0,1.0,0.0,0.0,0.0,3
7,0,"[6, 5]",0,0.0,1.0,0.0,0.0,2
8,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
9,0,"[7, 4]",0,0.0,1.0,0.0,0.0,2
10,0,"[8, 4]",0,1.0,0.0,0.0,0.0,3
11,0,"[8, 3]",0,0.0,1.0,0.0,0.0,3
12,0,"[8, 2]",0,0.0,1.0,0.0,0.0,0
13,0,"[7, 2]",0,0.0,0.0,1.0,0.0,0
14,0,"[6, 2]",0,0.0,0.0,1.0,0.0,1
15,0,"[6, 3]",0,0.0,0.0,0.0,1.0,2
16,0,"[7, 3]",0,1.0,0.0,0.0,0.0,1
17,0,"[7, 4]",0,0.0,0.0,0.0,1.0,0
18,0,"[6, 4]",0,0.0,0.0,1.0,0.0,3
19,0,"[6, 3]",0,0.0,1.0,0.0,0.0,0
20,0,"[5, 3]",0,0.0,0.0,1.0,0.0,3
21,0,"[5, 2]",0,0.0,1.0,0.0,0.0,2
22,0,"[6, 2]",0,1.0,0.0,0.0,0.0,1
23,0,"[6, 3]",0,0.0,0.0,0.0,1.0,3
24,0,"[6, 4]",0,0.0,0.0,0.0,1.0,3
25,0,"[6, 5]",0,0.0,0.0,0.0,1.0,0
26,0,"[5, 5]",0,0.0,0.0,1.0,0.0,0
27,0,"[4, 5]",0,0.0,0.0,1.0,0.0,1
28,0,"[4, 6]",0,0.0,0.0,0.0,1.0,0
29,0,"[3, 6]",0,0.0,0.0,1.0,0.0,1
30,0,"[3, 7]",0,0.0,0.0,0.0,1.0,2
31,0,"[4, 7]",0,1.0,0.0,0.0,0.0,1
32,0,"[4, 8]",0,0.0,0.0,0.0,1.0,0
33,0,"[3, 8]",0,0.0,0.0,1.0,0.0,2
34,0,"[2, 8]",0,0.0,0.0,1.0,0.0,0
35,0,"[1, 8]",0,0.0,0.0,1.0,0.0,1
36,1,"[1, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,3
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,3
3,0,"[7, 8]",0,0.0,0.0,0.0,1.0,1
4,0,"[7, 9]",0,0.0,1.0,0.0,1.0,2
5,1,"[8, 9]",0,1.0,1.0,0.0,0.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,3
3,0,"[4, 7]",0,0.0,1.0,0.0,0.0,3
4,0,"[4, 6]",0,0.0,1.0,0.0,0.0,3
5,0,"[4, 5]",0,0.0,1.0,0.0,0.0,0
6,0,"[3, 5]",0,0.0,0.0,1.0,0.0,0
7,0,"[2, 5]",0,0.0,0.0,1.0,0.0,3
8,0,"[2, 4]",0,0.0,1.0,0.0,0.0,3
9,0,"[2, 3]",0,0.0,1.0,0.0,0.0,2
